Type,Target,Label,Name,Anmerkung KHM
Property,http://arkumu.org/properties/spaetestes-sterbedatum,Spaetestes Sterbedatum,,
Property,http://arkumu.org/properties/sprache-der-beschreibung,Sprache Der Beschreibung,,
Property,http://arkumu.org/properties/sprache-der-ereignisbeschreibung,Sprache Der Ereignisbeschreibung,,
Property,http://arkumu.org/properties/sprache-des-alternativen-titels,Sprache Des Alternativen Titels,"Titel_erster_alternativer_Titel_Sprache,Titel_zweiter_alternativer_Titel_Sprache",
Property,http://arkumu.org/properties/sprache-des-alternativen-untertitels,Sprache Des Alternativen Untertitels,"Titel_erster_alternativer_Untertitel_Sprache,Titel_zweiter_alternativer_Untertitel_Sprache",
Property,http://arkumu.org/properties/sprache-des-bevorzugten-titels,Sprache Des Bevorzugten Titels,Originaltitel_Sprache,
Property,http://arkumu.org/properties/sprache-des-bevorzugten-untertitels,Sprache Des Bevorzugten Untertitels,Untertitel_Sprache,
Property,http://arkumu.org/properties/sprache-id,Sprache Id,,
Property,http://arkumu.org/properties/sprachfassung,Sprachfassung,"TR_Sprache,Synchronisationsfassung",
Property,http://arkumu.org/properties/sterbeort,Sterbeort,,
Property,http://arkumu.org/properties/synonyme,Synonyme,,
Property,http://arkumu.org/properties/systemvoraussetzungen,Systemvoraussetzungen,,
Property,http://arkumu.org/properties/technikschlagwort,Technikschlagwort,,
Property,http://arkumu.org/properties/technikschlagwort-id,Technikschlagwort Id,,
Property,http://arkumu.org/properties/technischer-kommentar-deutsch,Technischer Kommentar Deutsch,,
Property,http://arkumu.org/properties/technischer-kommentar-englisch,Technischer Kommentar Englisch,,
Property,http://arkumu.org/properties/teil-einer-serie,Teil Einer Serie,,
Property,http://arkumu.org/properties/tonformat,Tonformat,"Tonformat,Filmtonverfahren",
Property,http://arkumu.org/properties/tonmischfassung,Tonmischfassung,Tonmischfassung,
Property,http://arkumu.org/properties/ungesicherte-zuschreibung,Ungesicherte Zuschreibung,,
Property,http://arkumu.org/properties/untertitelsprache,Untertitelsprache,Sprache Untertitel,
Property,http://arkumu.org/properties/uri,Uri,,
Property,http://arkumu.org/properties/verantwortliche-hochschule,Verantwortliche Hochschule,,
Property,http://arkumu.org/properties/verknuepfter-akteurin,Verknuepfter Akteurin,,
Property,http://arkumu.org/properties/verknuepfter-informationstraeger,Verknuepfter Informationstraeger,,
Property,http://arkumu.org/properties/verknuepftes-digitales-objekt,Verknuepftes Digitales Objekt,,
Property,http://arkumu.org/properties/verknuepftes-equipment-und-software,Verknuepftes Equipment Und Software,,
Property,http://arkumu.org/properties/verknuepftes-ereignis,Verknuepftes Ereignis,,
Property,http://arkumu.org/properties/verknuepftes-physisches-objekt,Verknuepftes Physisches Objekt,,
Property,http://arkumu.org/properties/verknuepftes-projekt,Verknuepftes Projekt,,
Property,http://arkumu.org/properties/viaf-id,Viaf Id,PE_Normdatum_VIAF,
Property,http://arkumu.org/properties/vorangestellter-titel,Vorangestellter Titel,vorangestellterTitel,
Property,http://arkumu.org/properties/vorschaubild,Vorschaubild,,
Property,http://arkumu.org/properties/waehlt-automatisch-folgenden-anzeigestatus-aus,Waehlt Automatisch Folgenden Anzeigestatus Aus,,
